time,Trabajo grupal
Mon 00:00:00,652.7371899331746
Mon 00:05:00,652.7371899331746
Mon 00:10:00,596.0940553593368
Mon 00:15:00,458.3941430053147
Mon 00:20:00,458.3941430053147
Mon 00:25:00,458.3941430053147
Mon 00:30:00,378.3941430053147
Mon 00:35:00,298.3941430053147
Mon 00:40:00,298.3941430053147
Mon 00:45:00,218.39414300531467
Mon 00:50:00,298.3941430053147
Mon 00:55:00,298.3941430053147
Mon 01:00:00,298.3941430053147
Mon 01:05:00,298.3941430053147
Mon 01:10:00,298.3941430053147
Mon 01:15:00,218.39414300531467
Mon 01:20:00,218.39414300531467
Mon 01:25:00,218.39414300531467
Mon 01:30:00,218.39414300531467
Mon 01:35:00,160
Mon 01:40:00,160
Mon 01:45:00,240
Mon 01:50:00,320
Mon 01:55:00,320
Mon 02:00:00,320
Mon 02:05:00,240
Mon 02:10:00,240
Mon 02:15:00,240
Mon 02:20:00,240
Mon 02:25:00,240
Mon 02:30:00,240
Mon 02:35:00,240
Mon 02:40:00,240
Mon 02:45:00,240
Mon 02:50:00,240
Mon 02:55:00,160
Mon 03:00:00,160
Mon 03:05:00,160
Mon 03:10:00,160
Mon 03:15:00,160
Mon 03:20:00,160
Mon 03:25:00,160
Mon 03:30:00,160
Mon 03:35:00,240
Mon 03:40:00,240
Mon 03:45:00,240
Mon 03:50:00,160
Mon 03:55:00,80
Mon 04:00:00,80
Mon 04:05:00,160
Mon 04:10:00,160
Mon 04:15:00,160
Mon 04:20:00,160
Mon 04:25:00,160
Mon 04:30:00,160
Mon 04:35:00,160
Mon 04:40:00,160
Mon 04:45:00,160
Mon 04:50:00,160
Mon 04:55:00,160
Mon 05:00:00,160
Mon 05:05:00,160
Mon 05:10:00,160
Mon 05:15:00,160
Mon 05:20:00,160
Mon 05:25:00,160
Mon 05:30:00,160
Mon 05:35:00,160
Mon 05:40:00,80
Mon 05:45:00,80
Mon 05:50:00,80
Mon 05:55:00,80
Mon 06:00:00,80
Mon 06:05:00,80
Mon 06:10:00,0
Mon 06:15:00,0
Mon 06:20:00,0
Mon 06:25:00,0
Mon 06:30:00,0
Mon 06:35:00,0
Mon 06:40:00,0
Mon 06:45:00,0
Mon 06:50:00,0
Mon 06:55:00,80
Mon 07:00:00,80
Mon 07:05:00,80
Mon 07:10:00,80
Mon 07:15:00,80
Mon 07:20:00,80
Mon 07:25:00,80
Mon 07:30:00,80
Mon 07:35:00,80
Mon 07:40:00,80
Mon 07:45:00,80
Mon 07:50:00,80
Mon 07:55:00,80
Mon 08:00:00,80
Mon 08:05:00,80
Mon 08:10:00,80
Mon 08:15:00,80
Mon 08:20:00,80
Mon 08:25:00,80
Mon 08:30:00,80
Mon 08:35:00,80
Mon 08:40:00,80
Mon 08:45:00,80
Mon 08:50:00,80
Mon 08:55:00,80
Mon 09:00:00,0
Mon 09:05:00,0
Mon 09:10:00,0
Mon 09:15:00,0
Mon 09:20:00,80
Mon 09:25:00,80
Mon 09:30:00,80
Mon 09:35:00,80
Mon 09:40:00,80
Mon 09:45:00,80
Mon 09:50:00,80
Mon 09:55:00,80
Mon 10:00:00,80
Mon 10:05:00,80
Mon 10:10:00,80
Mon 10:15:00,160
Mon 10:20:00,160
Mon 10:25:00,240
Mon 10:30:00,240
Mon 10:35:00,240
Mon 10:40:00,240
Mon 10:45:00,240
Mon 10:50:00,240
Mon 10:55:00,240
Mon 11:00:00,240
Mon 11:05:00,240
Mon 11:10:00,240
Mon 11:15:00,240
Mon 11:20:00,240
Mon 11:25:00,160
Mon 11:30:00,160
Mon 11:35:00,160
Mon 11:40:00,240
Mon 11:45:00,240
Mon 11:50:00,240
Mon 11:55:00,240
Mon 12:00:00,320
Mon 12:05:00,400
Mon 12:10:00,400
Mon 12:15:00,400
Mon 12:20:00,320
Mon 12:25:00,320
Mon 12:30:00,240
Mon 12:35:00,240
Mon 12:40:00,240
Mon 12:45:00,240
Mon 12:50:00,240
Mon 12:55:00,240
Mon 13:00:00,320
Mon 13:05:00,480
Mon 13:10:00,480
Mon 13:15:00,560
Mon 13:20:00,560
Mon 13:25:00,560
Mon 13:30:00,640
Mon 13:35:00,880
Mon 13:40:00,1040
Mon 13:45:00,960
Mon 13:50:00,960
Mon 13:55:00,1040
Mon 14:00:00,1040
Mon 14:05:00,960
Mon 14:10:00,880
Mon 14:15:00,960
Mon 14:20:00,1040
Mon 14:25:00,1040
Mon 14:30:00,1040
Mon 14:35:00,1040
Mon 14:40:00,1120
Mon 14:45:00,1120
Mon 14:50:00,1200
Mon 14:55:00,1200
Mon 15:00:00,1280
Mon 15:05:00,1200
Mon 15:10:00,1120
Mon 15:15:00,1200
Mon 15:20:00,1200
Mon 15:25:00,1200
Mon 15:30:00,1200
Mon 15:35:00,1200
Mon 15:40:00,1170.8229195034862
Mon 15:45:00,1010.822919503486
Mon 15:50:00,1075.2395813230733
Mon 15:55:00,1075.2395813230733
Mon 16:00:00,1075.2395813230733
Mon 16:05:00,1235.2395813230733
Mon 16:10:00,1315.2395813230733
Mon 16:15:00,1315.2395813230733
Mon 16:20:00,1235.2395813230733
Mon 16:25:00,1155.2395813230733
Mon 16:30:00,1155.2395813230733
Mon 16:35:00,1155.2395813230733
Mon 16:40:00,1395.2395813230733
Mon 16:45:00,1315.2395813230733
Mon 16:50:00,1395.2395813230733
Mon 16:55:00,1635.2395813230733
Mon 17:00:00,1635.2395813230733
Mon 17:05:00,1635.2395813230733
Mon 17:10:00,1715.2395813230733
Mon 17:15:00,1795.2395813230733
Mon 17:20:00,2035.2395813230733
Mon 17:25:00,2100.2601751446064
Mon 17:30:00,2100.2601751446064
Mon 17:35:00,2100.2601751446064
Mon 17:40:00,2227.557796994997
Mon 17:45:00,2096.734877491511
Mon 17:50:00,2176.734877491511
Mon 17:55:00,2112.3182156719236
Mon 18:00:00,2192.3182156719236
Mon 18:05:00,2192.3182156719236
Mon 18:10:00,2032.3182156719236
Mon 18:15:00,2032.3182156719236
Mon 18:20:00,2032.3182156719236
Mon 18:25:00,2336.9124264667366
Mon 18:30:00,2416.9124264667366
Mon 18:35:00,2480.0292488007053
Mon 18:40:00,2480.0292488007053
Mon 18:45:00,2240.0292488007053
Mon 18:50:00,2240.0292488007053
Mon 18:55:00,2320.0292488007053
Mon 19:00:00,2000.0292488007053
Mon 19:05:00,2000.0292488007053
Mon 19:10:00,2144.9733995946676
Mon 19:15:00,2144.9733995946676
Mon 19:20:00,2064.9733995946676
Mon 19:25:00,1824.9733995946676
Mon 19:30:00,1679.9528057731345
Mon 19:35:00,1759.9528057731345
Mon 19:40:00,2065.8446093904263
Mon 19:45:00,1938.5469875400358
Mon 19:50:00,1858.5469875400358
Mon 19:55:00,1858.5469875400358
Mon 20:00:00,1858.5469875400358
Mon 20:05:00,1938.5469875400358
Mon 20:10:00,2018.5469875400358
Mon 20:15:00,2075.6630585327252
Mon 20:20:00,2075.663058532725
Mon 20:25:00,2235.663058532725
Mon 20:30:00,2011.068847737912
Mon 20:35:00,1931.068847737912
Mon 20:40:00,1947.9520254039433
Mon 20:45:00,2107.9520254039435
Mon 20:50:00,2107.9520254039435
Mon 20:55:00,2187.9520254039435
Mon 21:00:00,2187.9520254039435
Mon 21:05:00,2187.9520254039435
Mon 21:10:00,2267.9520254039435
Mon 21:15:00,2043.007874609981
Mon 21:20:00,2043.007874609981
Mon 21:25:00,2043.0078746099812
Mon 21:30:00,1963.0078746099812
Mon 21:35:00,1963.0078746099812
Mon 21:40:00,1883.0078746099812
Mon 21:45:00,1657.1160709926894
Mon 21:50:00,1737.1160709926892
Mon 21:55:00,1737.1160709926892
Mon 22:00:00,1657.1160709926892
Mon 22:05:00,1817.1160709926892
Mon 22:10:00,1737.1160709926892
Mon 22:15:00,1657.1160709926892
Mon 22:20:00,1600
Mon 22:25:00,1520
Mon 22:30:00,1360
Mon 22:35:00,1360
Mon 22:40:00,1440
Mon 22:45:00,1520
Mon 22:50:00,1360
Mon 22:55:00,1360
Mon 23:00:00,1360
Mon 23:05:00,1200
Mon 23:10:00,1200
Mon 23:15:00,1120
Mon 23:20:00,1200
Mon 23:25:00,1120
Mon 23:30:00,1120
Mon 23:35:00,1120
Mon 23:40:00,1200
Mon 23:45:00,1280
Mon 23:50:00,1200
Mon 23:55:00,1040
Tue 00:00:00,1200
Tue 00:05:00,1200
Tue 00:10:00,1120
Tue 00:15:00,1040
Tue 00:20:00,1040
Tue 00:25:00,1120
Tue 00:30:00,1120
Tue 00:35:00,1120
Tue 00:40:00,1040
Tue 00:45:00,960
Tue 00:50:00,880
Tue 00:55:00,880
Tue 01:00:00,880
Tue 01:05:00,800
Tue 01:10:00,800
Tue 01:15:00,800
Tue 01:20:00,800
Tue 01:25:00,880
Tue 01:30:00,960
Tue 01:35:00,880
Tue 01:40:00,880
Tue 01:45:00,880
Tue 01:50:00,800
